,dT,Tf,strainrange,df4,dc20,LTE,ratio_dmgs
0,50,275,0.00046707,9.57E-11,8.89E-23,inf,
1,60,275,0.000554,1.42E-10,2.02E-21,inf,
2,70,275,0.00064172,2.08E-10,3.34E-20,inf,
3,80,275,0.00073016,2.97E-10,4.29E-19,inf,
4,90,275,0.00081927,4.16E-10,4.49E-18,inf,
5,100,275,0.00090902,5.75E-10,3.96E-17,inf,
6,110,275,0.00099939,7.82E-10,3.01E-16,inf,
7,120,275,0.00109037,1.05E-09,2.02E-15,inf,
8,130,275,0.00118195,1.39E-09,1.22E-14,inf,
9,140,275,0.00127394,1.82E-09,6.61E-14,inf,
10,150,275,0.00136623,2.37E-09,3.29E-13,inf,
11,160,275,0.00145881,3.04E-09,1.51E-12,inf,
12,170,275,0.00155172,3.87E-09,6.43E-12,inf,
13,180,275,0.00164496,4.88E-09,2.56E-11,inf,
14,190,275,0.00173853,6.12E-09,9.62E-11,inf,
15,200,275,0.00183243,7.62E-09,3.41E-10,inf,
16,210,275,0.00192667,9.42E-09,1.15E-09,inf,
17,220,275,0.00202125,1.16E-08,3.69E-09,inf,
18,230,275,0.00211615,1.41E-08,1.13E-08,inf,
19,240,275,0.00221139,1.72E-08,3.33E-08,inf,
20,250,275,0.00230697,2.08E-08,9.41E-08,inf,
21,260,275,0.00240292,2.51E-08,2.57E-07,inf,
22,270,275,0.00249923,3.00E-08,6.76E-07,2197.794521,0.044443948
23,280,275,0.0025959,3.59E-08,1.63E-06,1182.734247,0.021939755
24,290,275,0.00269293,4.27E-08,3.22E-06,680.109589,0.013260535
25,300,275,0.00279032,5.06E-08,6.24E-06,380.7342466,0.008110432
26,50,300,0.00047312,9.85E-11,4.12E-21,inf,
27,60,300,0.00056125,1.47E-10,7.80E-20,inf,
28,70,300,0.00065019,2.15E-10,1.09E-18,inf,
29,80,300,0.00073984,3.08E-10,1.21E-17,inf,
30,90,300,0.00083016,4.33E-10,1.10E-16,inf,
31,100,300,0.00092112,5.99E-10,8.51E-16,inf,
32,110,300,0.00101263,8.17E-10,5.75E-15,inf,
33,120,300,0.00110447,1.10E-09,3.44E-14,inf,
34,130,300,0.00119662,1.45E-09,1.86E-13,inf,
35,140,300,0.00128911,1.90E-09,9.12E-13,inf,
36,150,300,0.00138194,2.47E-09,4.12E-12,inf,
37,160,300,0.00147511,3.17E-09,1.73E-11,inf,
38,170,300,0.00156862,4.04E-09,6.77E-11,inf,
39,180,300,0.00166248,5.10E-09,2.49E-10,inf,
40,190,300,0.00175667,6.39E-09,8.67E-10,inf,
41,200,300,0.00185121,7.95E-09,2.87E-09,inf,
42,210,300,0.00194607,9.83E-09,9.02E-09,inf,
43,220,300,0.00204128,1.21E-08,2.71E-08,inf,
44,230,300,0.00213686,1.48E-08,7.83E-08,inf,
45,240,300,0.0022328,1.80E-08,2.17E-07,inf,
46,250,300,0.0023291,2.17E-08,5.82E-07,inf,
47,260,300,0.00242576,2.62E-08,1.50E-06,1368.60274,0.017388912
48,270,300,0.00252278,3.14E-08,3.77E-06,627.9780822,0.008330673
49,280,300,0.00262016,3.75E-08,8.63E-06,293.1972603,0.004341351
50,290,300,0.00271789,4.46E-08,1.63E-05,159.4849315,0.002729961
51,300,300,0.00281599,5.28E-08,3.04E-05,87.12876712,0.001736125
52,50,325,0.00047921,1.01E-10,1.42E-19,inf,
53,60,325,0.00056856,1.52E-10,2.28E-18,inf,
54,70,325,0.00065871,2.23E-10,2.75E-17,inf,
55,80,325,0.00074955,3.20E-10,2.65E-16,inf,
56,90,325,0.00084086,4.51E-10,2.12E-15,inf,
57,100,325,0.00093252,6.23E-10,1.46E-14,inf,
58,110,325,0.00102454,8.49E-10,8.80E-14,inf,
59,120,325,0.00111693,1.14E-09,4.74E-13,inf,
60,130,325,0.00120968,1.51E-09,2.32E-12,inf,
61,140,325,0.00130278,1.98E-09,1.04E-11,inf,
62,150,325,0.00139623,2.57E-09,4.31E-11,inf,
63,160,325,0.00149003,3.30E-09,1.67E-10,inf,
64,170,325,0.00158418,4.20E-09,6.06E-10,inf,
65,180,325,0.00167868,5.30E-09,2.08E-09,inf,
66,190,325,0.00177351,6.64E-09,6.75E-09,inf,
67,200,325,0.00186871,8.27E-09,2.09E-08,inf,
68,210,325,0.00196428,1.02E-08,6.19E-08,inf,
69,220,325,0.00206021,1.26E-08,1.76E-07,inf,
70,230,325,0.0021565,1.54E-08,4.80E-07,inf,
