,dT,Tf,strainrange,df4,dc20,LTE,ratio_dmgs
0,50,275,0.00045181,4.49E-242,5.44E-21,inf,
1,60,275,0.00053479,1.10E-202,5.61E-20,inf,
2,70,275,0.00061833,1.71E-172,4.95E-19,inf,
3,80,275,0.00070237,1.15E-148,3.84E-18,inf,
4,90,275,0.00078683,1.93E-129,2.68E-17,inf,
5,100,275,0.00087171,1.22E-113,1.71E-16,inf,
6,110,275,0.00095697,1.83E-100,9.98E-16,inf,
7,120,275,0.0010426,2.42E-89,5.42E-15,inf,
8,130,275,0.00112861,7.39E-80,2.75E-14,inf,
9,140,275,0.00121536,1.15E-71,1.31E-13,inf,
10,150,275,0.00130306,1.60E-64,5.89E-13,inf,
11,160,275,0.00139166,2.91E-58,2.52E-12,inf,
12,170,275,0.00148115,9.42E-53,1.03E-11,inf,
13,180,275,0.0015715,7.01E-48,3.98E-11,inf,
14,190,275,0.00166271,1.48E-43,1.48E-10,inf,
15,200,275,0.00175477,1.05E-39,5.28E-10,inf,
16,210,275,0.00184769,2.87E-36,1.81E-09,inf,
17,220,275,0.00194145,3.45E-33,5.96E-09,inf,
18,230,275,0.00203603,2.00E-30,1.90E-08,inf,
19,240,275,0.00213086,5.94E-28,5.82E-08,inf,
20,250,275,0.00222541,9.51E-26,1.72E-07,inf,
21,260,275,0.00231966,8.91E-24,4.91E-07,inf,
22,270,275,0.00241364,5.23E-22,1.35E-06,2026.882192,3.87E-16
23,280,275,0.00250737,2.04E-20,3.60E-06,760.0794521,5.65E-15
24,290,275,0.00260089,5.53E-19,9.32E-06,294.0328767,5.94E-14
25,300,275,0.00269423,1.09E-17,2.34E-05,117.1917808,4.68E-13
26,50,300,0.00045587,7.30E-240,1.67E-19,inf,
27,60,300,0.00053946,8.79E-201,1.49E-18,inf,
28,70,300,0.00062363,8.03E-171,1.14E-17,inf,
29,80,300,0.00070828,3.48E-147,7.81E-17,inf,
30,90,300,0.00079338,4.15E-128,4.83E-16,inf,
31,100,300,0.00087888,1.95E-112,2.75E-15,inf,
32,110,300,0.00096494,2.39E-99,1.45E-14,inf,
33,120,300,0.00105193,3.07E-88,7.12E-14,inf,
34,130,300,0.00113986,1.01E-78,3.30E-13,inf,
35,140,300,0.00122866,1.64E-70,1.45E-12,inf,
36,150,300,0.00131834,2.23E-63,6.04E-12,inf,
37,160,300,0.00140888,3.83E-57,2.39E-11,inf,
38,170,300,0.00150028,1.15E-51,9.07E-11,inf,
39,180,300,0.00159252,7.79E-47,3.29E-10,inf,
40,190,300,0.00168562,1.49E-42,1.14E-09,inf,
41,200,300,0.00177955,9.50E-39,3.83E-09,inf,
42,210,300,0.00187411,2.31E-35,1.23E-08,inf,
43,220,300,0.0019685,2.30E-32,3.82E-08,inf,
44,230,300,0.0020626,1.05E-29,1.14E-07,inf,
45,240,300,0.00215641,2.48E-27,3.27E-07,inf,
46,250,300,0.00224998,3.26E-25,9.09E-07,inf,
47,260,300,0.00234334,2.59E-23,2.44E-06,1122.345205,1.06E-17
48,270,300,0.00243652,1.32E-21,6.35E-06,431.2191781,2.08E-16
49,280,300,0.00252953,4.59E-20,1.60E-05,170.7369863,2.86E-15
50,290,300,0.00262238,1.13E-18,3.94E-05,69.60821918,2.87E-14
51,300,300,0.00271507,2.05E-17,9.38E-05,29.21643836,2.18E-13
52,50,325,0.00045926,4.83E-238,3.92E-18,inf,
53,60,325,0.0005435,3.70E-199,3.06E-17,inf,
54,70,325,0.00062832,2.31E-169,2.08E-16,inf,
55,80,325,0.00071367,7.47E-146,1.27E-15,inf,
56,90,325,0.00079989,8.35E-127,7.05E-15,inf,
57,100,325,0.00088708,4.38E-111,3.64E-14,inf,
58,110,325,0.00097518,6.13E-98,1.76E-13,inf,
59,120,325,0.00106417,8.05E-87,7.96E-13,inf,
60,130,325,0.00115403,2.51E-77,3.41E-12,inf,
61,140,325,0.00124475,3.74E-69,1.39E-11,inf,
62,150,325,0.00133633,4.56E-62,5.38E-11,inf,
63,160,325,0.00142876,6.90E-56,1.99E-10,inf,
64,170,325,0.00152203,1.81E-50,7.05E-10,inf,
65,180,325,0.00161611,1.07E-45,2.40E-09,inf,
66,190,325,0.00171035,1.66E-41,7.83E-09,inf,
67,200,325,0.0018043,8.02E-38,2.45E-08,inf,
68,210,325,0.00189796,1.43E-34,7.39E-08,inf,
69,220,325,0.00199137,1.09E-31,2.14E-07,inf,
70,230,325,0.00208459,4.01E-29,6.00E-07,inf,
71,240,325,0.00217762,7.84E-27,1.63E-06,1685.60274,4.82E-21
72,250,325,0.00227049,8.87E-25,4.26E-06,642.5726027,2.08E-19
73,260,325,0.00236321,6.20E-23,1.08E-05,252.5178082,5.72E-18
74,270,325,0.00245578,2.84E-21,2.65E-05,103.2383562,1.07E-16
75,280,325,0.00254823,8.98E-20,6.43E-05,42.5890411,1.40E-15
76,290,325,0.00264162,2.11E-18,0.000150091,18.25479452,1.41E-14
77,300,325,0.00273704,3.91E-17,0.000340482,8.049315068,1.15E-13
78,50,350,0.00046266,3.07E-236,7.27E-17,inf,
79,60,350,0.00054777,1.82E-197,5.04E-16,inf,
80,70,350,0.00063401,1.28E-167,3.08E-15,inf,
81,80,350,0.00072126,5.23E-144,1.71E-14,inf,
82,90,350,0.00080945,6.32E-125,8.70E-14,inf,
83,100,350,0.00089856,3.13E-109,4.13E-13,inf,
84,110,350,0.00098855,3.83E-96,1.84E-12,inf,
85,120,350,0.00107941,4.24E-85,7.71E-12,inf,
86,130,350,0.00117113,1.10E-75,3.07E-11,inf,
87,140,350,0.00126371,1.34E-67,1.16E-10,inf,
88,150,350,0.00135713,1.34E-60,4.22E-10,inf,
