,ratio_dmgs,dT,Tf,LTE
0,,100,300,inf
1,,110,300,inf
2,,120,300,inf
3,,130,300,inf
4,,140,300,inf
5,,150,300,inf
6,,160,300,inf
7,,170,300,inf
8,,180,300,inf
9,,190,300,inf
10,,200,300,inf
11,,210,300,inf
12,,220,300,inf
13,,100,325,inf
14,,110,325,inf
15,,120,325,inf
16,,130,325,inf
17,,140,325,inf
18,,150,325,inf
19,,160,325,inf
20,,170,325,inf
21,,180,325,inf
22,,190,325,inf
23,,200,325,inf
24,,210,325,inf
25,,220,325,inf
26,,100,350,inf
27,,110,350,inf
28,,120,350,inf
29,,130,350,inf
30,,140,350,inf
31,,150,350,inf
32,,160,350,inf
33,,170,350,inf
34,,180,350,inf
35,,190,350,inf
36,,200,350,inf
37,,210,350,inf
38,5.21E-25,220,350,2289.731507
39,,100,375,inf
40,,110,375,inf
41,,120,375,inf
42,,130,375,inf
43,,140,375,inf
44,,150,375,inf
45,,160,375,inf
46,,170,375,inf
47,,180,375,inf
48,,190,375,inf
49,,200,375,inf
50,1.61E-27,210,375,1346.761644
51,3.21E-25,220,375,517.8575342
52,,100,400,inf
53,,110,400,inf
54,,120,400,inf
55,,130,400,inf
56,,140,400,inf
57,,150,400,inf
58,,160,400,inf
59,,170,400,inf
60,,180,400,inf
61,2.86E-33,190,400,2150.041096
62,2.50E-30,200,400,817.2849315
63,9.69E-28,210,400,320.3205479
64,2.01E-25,220,400,128.8520548
65,,100,425,inf
66,,110,425,inf
67,,120,425,inf
68,,130,425,inf
69,,140,425,inf
70,,150,425,inf
71,,160,425,inf
72,,170,425,inf
73,7.59E-37,180,425,1325.726027
74,1.75E-33,190,425,512.1589041
75,1.78E-30,200,425,202.7424658
76,8.79E-28,210,425,82.12328767
77,2.26E-25,220,425,34.07123288
78,,100,450,inf
79,,110,450,inf
80,,120,450,inf
81,,130,450,inf
82,,140,450,inf
83,,150,450,inf
84,2.43E-45,160,450,2227.668493
85,6.94E-41,170,450,844.4986301
86,6.21E-37,180,450,328.0356164
87,2.00E-33,190,450,130.4684932
88,3.55E-16,200,450,53.17260274
89,8.54E-15,210,450,22.26849315
90,1.41E-13,220,450,9.805479452
91,,100,475,inf
92,,110,475,inf
93,,120,475,inf
94,,130,475,inf
95,,140,475,inf
96,1.37E-50,150,475,1454.457534
97,2.52E-45,160,475,547.5369863
98,1.08E-40,170,475,213.2712329
99,1.22E-19,180,475,85.2
100,8.75E-18,190,475,34.98082192
101,3.60E-16,200,475,14.84109589
102,9.25E-15,210,475,6.589041096
103,1.63E-13,220,475,3.136986301
104,,100,500,inf
105,,110,500,inf
106,,120,500,inf
107,1.17E-63,130,500,2559.558904
108,1.87E-56,140,500,946.969863
109,4.06E-27,150,500,360.0356164
110,3.38E-24,160,500,140.6191781
111,1.10E-21,170,500,56.47945205
112,1.61E-19,180,500,23.42191781
113,1.21E-17,190,500,10.12876712
114,5.40E-16,200,500,4.731506849
115,1.50E-14,210,500,2.383561644
116,3.19E-13,220,500,1.438356164
117,,100,525,inf
118,,110,525,inf
119,1.82E-71,120,525,1691.8
120,2.61E-34,130,525,625.2630137
121,2.93E-30,140,525,238.0027397
122,8.08E-27,150,525,93.29589041
123,6.97E-24,160,525,37.75342466
124,2.29E-21,170,525,15.88493151
125,3.40E-19,180,525,7.071232877
126,2.69E-17,190,525,3.452054795
127,1.33E-15,200,525,1.961643836
128,5.03E-14,210,525,1.416438356
129,1.52E-12,220,525,1.301369863
130,,100,550,inf
131,4.00E-44,110,550,1112.715068
132,2.13E-38,120,550,410.9260274
133,1.30E-33,130,550,156.7150685
134,1.37E-29,140,550,61.75342466
135,3.50E-26,150,550,25.26027397
136,2.78E-23,160,550,10.8739726
137,8.74E-21,170,550,5.076712329
138,1.36E-18,180,550,2.709589041
139,1.28E-16,190,550,1.78630137
140,8.66E-15,200,550,1.536986301
141,4.40E-13,210,550,1.687671233
142,1.34E-12,220,550,2.101369863
