,dT,Tf,strainrange,df4,dc20,LTE,ratio_dmgs
0,50,275,0.00046346,9.41E-11,7.57E-23,inf,
1,60,275,0.00055143,1.41E-10,1.76E-21,inf,
2,70,275,0.00064023,2.06E-10,2.96E-20,inf,
3,80,275,0.00072976,2.96E-10,3.84E-19,inf,
4,90,275,0.00081998,4.17E-10,4.04E-18,inf,
5,100,275,0.00091084,5.78E-10,3.57E-17,inf,
6,110,275,0.00100233,7.89E-10,2.73E-16,inf,
7,120,275,0.00109443,1.06E-09,1.83E-15,inf,
8,130,275,0.00118715,1.41E-09,1.10E-14,inf,
9,140,275,0.00128035,1.86E-09,6.00E-14,inf,
10,150,275,0.00137388,2.42E-09,2.99E-13,inf,
11,160,275,0.0014677,3.11E-09,1.37E-12,inf,
12,170,275,0.00156183,3.97E-09,5.84E-12,inf,
13,180,275,0.00165626,5.02E-09,2.33E-11,inf,
14,190,275,0.001751,6.30E-09,8.73E-11,inf,
15,200,275,0.00184605,7.86E-09,3.09E-10,inf,
16,210,275,0.00194142,9.73E-09,1.04E-09,inf,
17,220,275,0.00203712,1.20E-08,3.33E-09,inf,
18,230,275,0.00213313,1.47E-08,1.02E-08,inf,
19,240,275,0.00222946,1.78E-08,3.00E-08,inf,
20,250,275,0.00232612,2.16E-08,8.48E-08,inf,
21,260,275,0.00242311,2.60E-08,2.31E-07,inf,
22,270,275,0.00252045,3.12E-08,6.07E-07,2281.263014,0.051442556
23,280,275,0.00261816,3.73E-08,1.39E-06,1307.624658,0.026947416
24,290,275,0.00271621,4.45E-08,2.73E-06,767.2547945,0.016306016
25,300,275,0.00281461,5.27E-08,5.28E-06,436.1178082,0.009984996
26,50,300,0.00046955,9.68E-11,3.55E-21,inf,
27,60,300,0.00055875,1.46E-10,6.86E-20,inf,
28,70,300,0.00064877,2.14E-10,9.75E-19,inf,
29,80,300,0.00073953,3.08E-10,1.09E-17,inf,
30,90,300,0.00083097,4.35E-10,9.96E-17,inf,
31,100,300,0.00092305,6.03E-10,7.75E-16,inf,
32,110,300,0.00101574,8.25E-10,5.25E-15,inf,
33,120,300,0.00110881,1.11E-09,3.15E-14,inf,
34,130,300,0.0012022,1.48E-09,1.70E-13,inf,
35,140,300,0.0012959,1.94E-09,8.36E-13,inf,
36,150,300,0.00138991,2.52E-09,3.78E-12,inf,
37,160,300,0.00148425,3.25E-09,1.58E-11,inf,
38,170,300,0.00157891,4.14E-09,6.20E-11,inf,
39,180,300,0.00167391,5.24E-09,2.28E-10,inf,
40,190,300,0.00176924,6.58E-09,7.93E-10,inf,
41,200,300,0.0018649,8.20E-09,2.62E-09,inf,
42,210,300,0.00196087,1.02E-08,8.22E-09,inf,
43,220,300,0.00205718,1.25E-08,2.47E-08,inf,
44,230,300,0.00215382,1.53E-08,7.12E-08,inf,
45,240,300,0.00225082,1.86E-08,1.97E-07,inf,
46,250,300,0.00234817,2.25E-08,5.28E-07,inf,
47,260,300,0.00244588,2.72E-08,1.36E-06,1457.580822,0.019938897
48,270,300,0.00254394,3.26E-08,3.41E-06,680.1287671,0.009572236
49,280,300,0.00264236,3.90E-08,7.39E-06,337.1424658,0.005280634
50,290,300,0.00274114,4.64E-08,1.40E-05,184.4849315,0.003324319
51,300,300,0.00284026,5.51E-08,2.61E-05,101.0931507,0.002114157
52,50,325,0.00047569,9.97E-11,1.23E-19,inf,
53,60,325,0.00056611,1.50E-10,2.02E-18,inf,
54,70,325,0.00065735,2.22E-10,2.47E-17,inf,
55,80,325,0.00074934,3.20E-10,2.41E-16,inf,
56,90,325,0.00084185,4.52E-10,1.94E-15,inf,
57,100,325,0.00093472,6.28E-10,1.34E-14,inf,
58,110,325,0.00102794,8.59E-10,8.11E-14,inf,
59,120,325,0.0011215,1.16E-09,4.38E-13,inf,
60,130,325,0.00121542,1.54E-09,2.14E-12,inf,
61,140,325,0.00130967,2.02E-09,9.60E-12,inf,
62,150,325,0.00140428,2.62E-09,3.98E-11,inf,
63,160,325,0.00149922,3.38E-09,1.54E-10,inf,
64,170,325,0.00159451,4.31E-09,5.58E-10,inf,
65,180,325,0.00169013,5.45E-09,1.91E-09,inf,
66,190,325,0.00178609,6.84E-09,6.21E-09,inf,
67,200,325,0.00188238,8.53E-09,1.92E-08,inf,
68,210,325,0.00197902,1.06E-08,5.68E-08,inf,
69,220,325,0.00207603,1.30E-08,1.61E-07,inf,
70,230,325,0.00217339,1.59E-08,4.39E-07,inf,
71,240,325,0.00227112,1.94E-08,1.15E-06,1798.945205,0.016784124
72,250,325,0.00236919,2.35E-08,2.93E-06,810.490411,0.008002507
73,260,325,0.00246762,2.83E-08,7.22E-06,353.1972603,0.003922425
74,270,325,0.00256641,3.40E-08,1.72E-05,153.3342466,0.001974019
75,280,325,0.00266564,4.07E-08,3.57E-05,75.04931507,0.001137659
76,290,325,0.00276558,4.85E-08,6.53E-05,41.35890411,0.000741724
77,300,325,0.00286649,5.76E-08,0.000117475,23.10684932,0.000490239
78,50,350,0.00048182,1.03E-10,3.29E-18,inf,
79,60,350,0.0005734,1.55E-10,4.64E-17,inf,
80,70,350,0.00066554,2.29E-10,4.94E-16,inf,
81,80,350,0.00075814,3.31E-10,4.22E-15,inf,
82,90,350,0.00085117,4.68E-10,3.02E-14,inf,
83,100,350,0.00094459,6.50E-10,1.87E-13,inf,
84,110,350,0.0010384,8.88E-10,1.02E-12,inf,
85,120,350,0.00113258,1.20E-09,5.02E-12,inf,
86,130,350,0.00122712,1.59E-09,2.25E-11,inf,
87,140,350,0.00132202,2.09E-09,9.29E-11,inf,
88,150,350,0.00141727,2.72E-09,3.56E-10,inf,
89,160,350,0.00151286,3.50E-09,1.28E-09,inf,
90,170,350,0.00160879,4.47E-09,4.34E-09,inf,
91,180,350,0.00170508,5.65E-09,1.39E-08,inf,
92,190,350,0.00180174,7.10E-09,4.25E-08,inf,
93,200,350,0.00189875,8.85E-09,1.24E-07,inf,
94,210,350,0.00199613,1.10E-08,3.47E-07,inf,
95,220,350,0.00209386,1.35E-08,9.34E-07,2302.10137,0.014460807
96,230,350,0.00219195,1.65E-08,2.42E-06,1001.871233,0.006829562
97,240,350,0.0022904,2.01E-08,6.06E-06,425.0328767,0.003320758
98,250,350,0.0023892,2.44E-08,1.47E-05,180.6410959,0.001659655
99,260,350,0.0024886,2.94E-08,3.46E-05,78,0.000851988
100,270,350,0.00258884,3.54E-08,7.87E-05,34.49863014,0.000449727
101,280,350,0.0026904,4.25E-08,0.000158029,17.24931507,0.000268798
102,290,350,0.00279334,5.08E-08,0.000277385,9.843835616,0.000183258
103,300,350,0.00289766,6.07E-08,0.000478411,5.715068493,0.000126869
104,50,375,0.00048724,1.05E-10,6.83E-17,inf,
105,60,375,0.00057938,1.59E-10,8.34E-16,inf,
106,70,375,0.00067211,2.35E-10,7.80E-15,inf,
107,80,375,0.00076533,3.40E-10,5.94E-14,inf,
108,90,375,0.000859,4.81E-10,3.82E-13,inf,
109,100,375,0.00095307,6.69E-10,2.15E-12,inf,
110,110,375,0.00104754,9.15E-10,1.07E-11,inf,
111,120,375,0.00114238,1.23E-09,4.85E-11,inf,
112,130,375,0.00123758,1.64E-09,2.01E-10,inf,
113,140,375,0.00133314,2.16E-09,7.70E-10,inf,
114,150,375,0.00142906,2.81E-09,2.76E-09,inf,
115,160,375,0.00152535,3.61E-09,9.28E-09,inf,
116,170,375,0.00162201,4.61E-09,2.96E-08,inf,
117,180,375,0.00171903,5.84E-09,8.94E-08,inf,
118,190,375,0.00181642,7.34E-09,2.58E-07,inf,
119,200,375,0.00191417,9.16E-09,7.14E-07,inf,
120,210,375,0.00201227,1.14E-08,1.90E-06,1295.284932,0.005976324
121,220,375,0.00211073,1.40E-08,4.87E-06,533.8821918,0.002874073
122,230,375,0.00220962,1.71E-08,1.20E-05,221.5315068,0.001422905
123,240,375,0.00230924,2.09E-08,2.88E-05,93.69315068,0.000724415
124,250,375,0.00241,2.54E-08,6.69E-05,40.64657534,0.000379424
125,260,375,0.00251215,3.08E-08,0.000149969,18.2,0.000205157
126,270,375,0.00261569,3.72E-08,0.000322276,8.484931507,0.000115353
127,280,375,0.00272059,4.48E-08,0.000626577,4.367123288,7.15E-05
128,290,375,0.00282694,5.38E-08,0.001037273,2.64109589,5.19E-05
129,300,375,0.00293488,6.46E-08,0.001649037,1.660273973,3.92E-05
130,50,400,0.00049125,1.07E-10,1.12E-15,inf,
131,60,400,0.00058405,1.63E-10,1.20E-14,inf,
132,70,400,0.00067745,2.41E-10,1.00E-13,inf,
133,80,400,0.00077135,3.48E-10,6.90E-13,inf,
134,90,400,0.00086569,4.93E-10,4.04E-12,inf,
135,100,400,0.00096044,6.86E-10,2.08E-11,inf,
136,110,400,0.00105557,9.39E-10,9.59E-11,inf,
137,120,400,0.00115108,1.27E-09,4.02E-10,inf,
138,130,400,0.00124699,1.69E-09,1.55E-09,inf,
139,140,400,0.00134327,2.22E-09,5.56E-09,inf,
140,150,400,0.00143993,2.89E-09,1.87E-08,inf,
141,160,400,0.00153695,3.72E-09,5.93E-08,inf,
142,170,400,0.00163434,4.76E-09,1.78E-07,inf,
143,180,400,0.0017321,6.03E-09,5.12E-07,inf,
144,190,400,0.00183021,7.58E-09,1.40E-06,1769.345205,0.005394611
145,200,400,0.00192868,9.46E-09,3.70E-06,706.0630137,0.002555851
146,210,400,0.00202774,1.17E-08,9.39E-06,284.9205479,0.001249392
147,220,400,0.00212774,1.45E-08,2.30E-05,117.5506849,0.000629089
148,230,400,0.0022291,1.78E-08,5.47E-05,49.82191781,0.000326062
149,240,400,0.0023318,2.18E-08,0.000125227,21.80821918,0.000174392
150,250,400,0.00243581,2.67E-08,0.000274432,9.967123288,9.72E-05
151,260,400,0.00254125,3.25E-08,0.000596832,4.58630137,5.44E-05
152,270,400,0.00264831,3.94E-08,0.001202721,2.276712329,3.28E-05
153,280,400,0.00275704,4.77E-08,0.002013055,1.361643836,2.37E-05
154,290,400,0.00286739,5.77E-08,0.002849839,0.961643836,2.02E-05
155,300,400,0.00297956,1.38E-06,0.003586449,0.75890411,0.000384039
156,50,425,0.00049462,1.09E-10,1.49E-14,inf,
157,60,425,0.00058808,1.65E-10,1.44E-13,inf,
158,70,425,0.00068213,2.45E-10,1.08E-12,inf,
159,80,425,0.00077668,3.55E-10,6.79E-12,inf,
160,90,425,0.00087167,5.04E-10,3.65E-11,inf,
161,100,425,0.00096709,7.02E-10,1.74E-10,inf,
162,110,425,0.00106292,9.61E-10,7.44E-10,inf,
163,120,425,0.00115915,1.30E-09,2.91E-09,inf,
164,130,425,0.00125577,1.73E-09,1.05E-08,inf,
165,140,425,0.00135276,2.28E-09,3.55E-08,inf,
166,150,425,0.00145012,2.97E-09,1.13E-07,inf,
167,160,425,0.00154784,3.83E-09,3.39E-07,inf,
168,170,425,0.00164593,4.89E-09,9.68E-07,2582.619178,0.005057268
169,180,425,0.00174445,6.21E-09,2.64E-06,992.4958904,0.002348344
170,190,425,0.00184374,7.81E-09,6.92E-06,387.3616438,0.00112858
171,200,425,0.00194431,9.79E-09,1.75E-05,155.0219178,0.000559856
172,210,425,0.0020462,1.22E-08,4.26E-05,63.89863014,0.000286246
173,220,425,0.00214937,1.52E-08,0.000100297,27.23835616,0.000151066
174,230,425,0.00225386,1.87E-08,0.000224288,12.19726027,8.35E-05
175,240,425,0.00235972,2.31E-08,0.000495343,5.528767123,4.65E-05
176,250,425,0.00246712,2.83E-08,0.001029768,2.660273973,2.75E-05
177,260,425,0.00257636,3.46E-08,0.001923618,1.424657534,1.80E-05
178,270,425,0.00268771,4.23E-08,0.003016533,0.909589041,1.40E-05
179,280,425,0.00280084,1.07E-06,0.003692356,0.739726027,0.000288497
180,290,425,0.00291514,1.26E-06,0.003819917,0.715068493,0.000329148
181,300,425,0.00303096,1.48E-06,0.003626892,0.750684932,0.000407955
182,50,450,0.00049799,1.11E-10,1.69E-13,inf,
183,60,450,0.0005921,1.68E-10,1.46E-12,inf,
184,70,450,0.00068682,2.50E-10,1.01E-11,inf,
185,80,450,0.00078206,3.62E-10,5.79E-11,inf,
186,90,450,0.00087776,5.15E-10,2.88E-10,inf,
187,100,450,0.00097388,7.18E-10,1.28E-09,inf,
188,110,450,0.00107042,9.85E-10,5.10E-09,inf,
189,120,450,0.00116734,1.33E-09,1.87E-08,inf,
190,130,450,0.00126465,1.78E-09,6.39E-08,inf,
191,140,450,0.00136233,2.34E-09,2.04E-07,inf,
192,150,450,0.00146039,3.05E-09,6.14E-07,inf,
193,160,450,0.00155904,3.94E-09,1.75E-06,1498.454795,0.002246879
194,170,450,0.0016588,5.05E-09,4.79E-06,561.0767123,0.001055204
195,180,450,0.0017599,6.44E-09,1.25E-05,216.3041096,0.000513065
196,190,450,0.00186226,8.15E-09,3.16E-05,86.21643836,0.000257746
197,200,450,0.00196593,1.03E-08,7.67E-05,35.61917808,0.000133801
198,210,450,0.00207086,1.29E-08,0.000178377,15.33972603,7.21E-05
199,220,450,0.00217714,1.60E-08,0.000391629,6.991780822,4.10E-05
200,230,450,0.00228488,1.99E-08,0.000853542,3.210958904,2.33E-05
201,240,450,0.00239433,2.46E-08,0.001654043,1.657534247,1.49E-05
202,250,450,0.00250583,6.76E-07,0.002718569,1.005479452,0.000248811
203,260,450,0.00261953,8.10E-07,0.003505436,0.780821918,0.00023097
204,270,450,0.00273504,9.66E-07,0.003576189,0.764383562,0.000270091
205,280,450,0.00285197,1.15E-06,0.003236169,0.84109589,0.000354736
206,290,450,0.00297013,1.36E-06,0.002977944,0.912328767,0.000456426
207,300,450,0.00308992,1.60E-06,0.002791919,0.97260274,0.000574662
208,50,475,0.00050139,1.12E-10,1.64E-12,inf,
209,60,475,0.0005962,1.71E-10,1.29E-11,inf,
210,70,475,0.00069162,2.55E-10,8.16E-11,inf,
211,80,475,0.00078755,3.70E-10,4.34E-10,inf,
212,90,475,0.00088394,5.26E-10,2.01E-09,inf,
213,100,475,0.00098076,7.35E-10,8.32E-09,inf,
214,110,475,0.00107798,1.01E-09,3.13E-08,inf,
215,120,475,0.0011756,1.36E-09,1.08E-07,inf,
216,130,475,0.00127366,1.82E-09,3.50E-07,inf,
217,140,475,0.00137262,2.41E-09,1.06E-06,2474.010959,0.00226751
218,150,475,0.00147291,3.15E-09,3.06E-06,878.9506849,0.001031407
219,160,475,0.00157447,4.10E-09,8.39E-06,323.4410959,0.000488155
220,170,475,0.00167732,5.28E-09,2.21E-05,123.6767123,0.000239621
221,180,475,0.00178142,6.77E-09,5.56E-05,49.20273973,0.000121831
222,190,475,0.0018868,8.61E-09,0.00013397,20.42739726,6.43E-05
223,200,475,0.00199346,1.09E-08,0.00030599,8.947945205,3.56E-05
224,210,475,0.00210152,1.37E-08,0.000680345,4.02739726,2.02E-05
225,220,475,0.0022112,1.72E-08,0.001374741,1.994520548,1.25E-05
226,230,475,0.00232282,4.99E-07,0.002385179,1.145205479,0.000209372
227,240,475,0.00243687,6.05E-07,0.003263181,0.838356164,0.000185283
228,250,475,0.00255315,7.30E-07,0.003412953,0.8,0.000213753
229,260,475,0.00267104,8.77E-07,0.003084376,0.884931507,0.000284203
230,270,475,0.00279023,1.05E-06,0.002771141,0.983561644,0.000378429
231,280,475,0.00291089,1.25E-06,0.00257864,1.054794521,0.000484638
232,290,475,0.00303326,1.48E-06,0.002460182,1.101369863,0.00060334
233,300,475,0.00315748,1.76E-06,0.002372824,1.139726027,0.000740792
234,50,500,0.00050489,1.14E-10,1.39E-11,inf,
235,60,500,0.00060039,1.74E-10,1.00E-10,inf,
236,70,500,0.00069649,2.60E-10,5.85E-10,inf,
237,80,500,0.00079311,3.78E-10,2.89E-09,inf,
238,90,500,0.00089019,5.38E-10,1.25E-08,inf,
239,100,500,0.0009877,7.52E-10,4.88E-08,inf,
240,110,500,0.00108587,1.03E-09,1.73E-07,inf,
241,120,500,0.00118531,1.41E-09,5.71E-07,inf,
242,130,500,0.00128605,1.89E-09,1.76E-06,1521.712329,0.00107008
243,140,500,0.00138807,2.51E-09,5.15E-06,527.4246575,0.000487966
244,150,500,0.00149135,3.31E-09,1.43E-05,191.3808219,0.000232194
245,160,500,0.00159587,4.32E-09,3.76E-05,72.6630137,0.000114913
246,170,500,0.00170164,5.60E-09,9.48E-05,28.88219178,5.91E-05
247,180,500,0.00180867,7.21E-09,0.000226332,12.09863014,3.19E-05
248,190,500,0.00191703,9.22E-09,0.000504603,5.430136986,1.83E-05
249,200,500,0.00202689,2.93E-07,0.001095773,2.487671233,0.00026747
250,210,500,0.00213871,3.61E-07,0.002021493,1.353424658,0.000178527
251,220,500,0.00225314,4.43E-07,0.00295577,0.926027397,0.000149778
252,230,500,0.0023702,5.41E-07,0.003229665,0.846575342,0.000167556
