,ratio_dmgs,dT,Tf,LTE
0,,100,300,inf
1,,110,300,inf
2,,120,300,inf
3,,130,300,inf
4,,140,300,inf
5,,150,300,inf
6,,160,300,inf
7,,170,300,inf
8,,180,300,inf
9,,100,325,inf
10,,110,325,inf
11,,120,325,inf
12,,130,325,inf
13,,140,325,inf
14,,150,325,inf
15,,160,325,inf
16,,170,325,inf
17,0.000610867,180,325,898.1232877
18,,100,350,inf
19,,110,350,inf
20,,120,350,inf
21,,130,350,inf
22,,140,350,inf
23,,150,350,inf
24,0.000161729,160,350,1742.969863
25,0.000161237,170,350,569.6438356
26,0.000256619,180,350,335.7178082
27,,100,375,inf
28,,110,375,inf
29,,120,375,inf
30,,130,375,inf
31,,140,375,inf
32,3.67E-05,150,375,1164.290411
33,3.97E-05,160,375,368.6109589
34,0.003582356,170,375,122.6493151
35,0.002529157,180,375,44.24931507
36,,100,400,inf
37,,110,400,inf
38,,120,400,inf
39,4.44E-06,130,400,2116.706849
40,7.80E-06,140,400,826.9945205
41,0.001681013,150,400,257.8520548
42,0.001279071,160,400,86.04931507
43,0.000955016,170,400,30.49041096
44,0.000702749,180,400,11.43013699
45,,100,425,inf
46,1.36E-07,110,425,1603.331507
47,0.000306872,120,425,882.1753425
48,0.000499987,130,425,491.7123288
49,0.000546788,140,425,192.1041096
50,0.000447405,150,425,62.61643836
51,0.000355727,160,425,21.86849315
52,0.000270699,170,425,7.923287671
53,0.000211798,180,425,3.156164384
54,1.87E-05,100,450,670.9260274
55,4.34E-05,110,450,379.8219178
56,8.41E-05,120,450,217.2109589
57,0.000141471,130,450,125.539726
58,0.000151697,140,450,47.77534247
59,0.000129838,150,450,16.35342466
60,0.000107849,160,450,5.980821918
61,8.51E-05,170,450,2.257534247
62,6.98E-05,180,450,0.942465753
63,5.28E-06,100,475,167.4054795
64,1.26E-05,110,475,98.10410959
65,2.52E-05,120,475,58.03835616
66,4.39E-05,130,475,34.8109589
67,4.42E-05,140,475,12.40821918
68,4.12E-05,150,475,4.619178082
69,3.55E-05,160,475,1.764383562
70,3.04E-05,170,475,0.726027397
71,7.18E-05,180,475,0.323287671
72,1.64E-06,100,500,45.41643836
73,4.05E-06,110,500,27.64383562
74,8.41E-06,120,500,17.08493151
75,1.53E-05,130,500,10.76164384
76,1.51E-05,140,500,3.723287671
77,1.42E-05,150,500,1.416438356
78,4.31E-05,160,500,0.58630137
79,3.67E-05,170,500,0.265753425
80,3.84E-05,180,500,0.156164384
