,dT,Tf,strainrange,df4,dc20,LTE,ratio_dmgs
0,50,275,0.00044942,2.16E-243,4.89E-21,inf,
1,60,275,0.00053379,4.26E-203,5.11E-20,inf,
2,70,275,0.00061878,2.37E-172,4.54E-19,inf,
3,80,275,0.00070428,3.47E-148,3.55E-18,inf,
4,90,275,0.00079023,9.54E-129,2.49E-17,inf,
5,100,275,0.0008766,8.11E-113,1.59E-16,inf,
6,110,275,0.00096336,1.44E-99,9.36E-16,inf,
7,120,275,0.0010505,2.08E-88,5.10E-15,inf,
8,130,275,0.00113801,6.58E-79,2.59E-14,inf,
9,140,275,0.00122614,9.94E-71,1.24E-13,inf,
10,150,275,0.00131518,1.30E-63,5.59E-13,inf,
11,160,275,0.00140516,2.21E-57,2.40E-12,inf,
12,170,275,0.00149605,6.64E-52,9.78E-12,inf,
13,180,275,0.00158785,4.59E-47,3.81E-11,inf,
14,190,275,0.00168054,8.97E-43,1.42E-10,inf,
15,200,275,0.00177412,5.89E-39,5.07E-10,inf,
16,210,275,0.00186857,1.50E-35,1.74E-09,inf,
17,220,275,0.0019639,1.67E-32,5.76E-09,inf,
18,230,275,0.00206009,9.04E-30,1.84E-08,inf,
19,240,275,0.00215679,2.53E-27,5.66E-08,inf,
20,250,275,0.0022535,3.87E-25,1.68E-07,inf,
21,260,275,0.00234993,3.47E-23,4.82E-07,inf,
22,270,275,0.00244608,1.94E-21,1.33E-06,2052.739726,1.45E-15
23,280,275,0.00254195,7.18E-20,3.58E-06,766.0931507,2.01E-14
24,290,275,0.00263758,1.85E-18,9.29E-06,295.0246575,1.99E-13
25,300,275,0.00273297,3.47E-17,2.34E-05,117.090411,1.48E-12
26,50,300,0.00045353,3.92E-241,1.52E-19,inf,
27,60,300,0.00053854,3.73E-201,1.36E-18,inf,
28,70,300,0.00062417,1.18E-170,1.06E-17,inf,
29,80,300,0.00071031,1.11E-146,7.27E-17,inf,
30,90,300,0.0007969,2.11E-127,4.52E-16,inf,
31,100,300,0.00088392,1.33E-111,2.58E-15,inf,
32,110,300,0.00097142,1.88E-98,1.36E-14,inf,
33,120,300,0.0010598,2.53E-87,6.74E-14,inf,
34,130,300,0.00114913,8.33E-78,3.14E-13,inf,
35,140,300,0.00123939,1.33E-69,1.38E-12,inf,
36,150,300,0.00133056,1.75E-62,5.76E-12,inf,
37,160,300,0.00142262,2.85E-56,2.29E-11,inf,
38,170,300,0.00151557,8.05E-51,8.70E-11,inf,
39,180,300,0.00160938,5.11E-46,3.17E-10,inf,
40,190,300,0.00170407,9.08E-42,1.10E-09,inf,
41,200,300,0.00179961,5.38E-38,3.71E-09,inf,
42,210,300,0.0018959,1.22E-34,1.20E-08,inf,
43,220,300,0.00199238,1.16E-31,3.73E-08,inf,
44,230,300,0.00208861,5.09E-29,1.12E-07,inf,
45,240,300,0.00218457,1.14E-26,3.23E-07,inf,
46,250,300,0.00228026,1.42E-24,9.00E-07,inf,
47,260,300,0.00237569,1.06E-22,2.43E-06,1128.106849,4.38E-17
48,270,300,0.0024709,5.12E-21,6.35E-06,431.6630137,8.07E-16
49,280,300,0.00256587,1.67E-19,1.61E-05,170.2767123,1.04E-14
50,290,300,0.00266065,3.87E-18,3.96E-05,69.17808219,9.76E-14
51,300,300,0.00275522,6.60E-17,9.47E-05,28.9369863,6.97E-13
52,50,325,0.00045697,2.86E-239,3.57E-18,inf,
53,60,325,0.00054265,1.69E-199,2.82E-17,inf,
54,70,325,0.00062894,3.59E-169,1.93E-16,inf,
55,80,325,0.00071577,2.44E-145,1.18E-15,inf,
56,90,325,0.0008034,4.13E-126,6.63E-15,inf,
57,100,325,0.00089202,2.78E-110,3.44E-14,inf,
58,110,325,0.00098161,4.54E-97,1.66E-13,inf,
59,120,325,0.00107212,6.46E-86,7.57E-13,inf,
60,130,325,0.00116353,2.07E-76,3.26E-12,inf,
61,140,325,0.00125583,3.07E-68,1.33E-11,inf,
62,150,325,0.001349,3.62E-61,5.16E-11,inf,
63,160,325,0.00144303,5.22E-55,1.92E-10,inf,
64,170,325,0.00153793,1.29E-49,6.81E-10,inf,
65,180,325,0.00163368,7.12E-45,2.32E-09,inf,
66,190,325,0.00172987,1.06E-40,7.62E-09,inf,
67,200,325,0.00182592,4.89E-37,2.40E-08,inf,
68,210,325,0.00192168,8.29E-34,7.26E-08,inf,
69,220,325,0.00201718,5.98E-31,2.12E-07,inf,
70,230,325,0.00211244,2.07E-28,5.96E-07,inf,
71,240,325,0.00220745,3.78E-26,1.62E-06,1691.69863,2.34E-20
72,250,325,0.00230226,4.00E-24,4.26E-06,642.5452055,9.37E-19
73,260,325,0.00239686,2.61E-22,1.09E-05,251.6657534,2.39E-17
74,270,325,0.00249128,1.12E-20,2.70E-05,101.5424658,4.13E-16
75,280,325,0.00258553,3.29E-19,6.49E-05,42.18630137,5.07E-15
76,290,325,0.00268025,7.12E-18,0.000151858,18.04383562,4.69E-14
77,300,325,0.00277625,1.19E-16,0.000344665,7.950684932,3.47E-13
78,50,350,0.00046041,1.98E-237,6.67E-17,inf,
79,60,350,0.00054692,8.42E-198,4.67E-16,inf,
80,70,350,0.00063459,1.92E-167,2.88E-15,inf,
81,80,350,0.00072333,1.64E-143,1.60E-14,inf,
82,90,350,0.00081306,3.16E-124,8.22E-14,inf,
83,100,350,0.00090373,2.07E-108,3.92E-13,inf,
84,110,350,0.0009953,2.97E-95,1.75E-12,inf,
85,120,350,0.00108777,3.56E-84,7.38E-12,inf,
86,130,350,0.00118111,9.42E-75,2.95E-11,inf,
87,140,350,0.00127532,1.14E-66,1.12E-10,inf,
